user_id,bayesian_rating,appid
Fazzumen,2.0,2407
jealouskain,6.0,124742
iulius12,7.0,236239
jogosinternacionais,8.0,6819
Yuki Shimizu,6.0,175
jkirsch,7.0,43111
fidimar,10.0,175155
MathieuVIII,4.0,133632
alkamo,10.0,14996
Hassard,8.5,244228
chearns,8.0,75358
data00,8.0,45
Romulus_premier,7.0,47
bidimus,7.0,2669
00McCracken,8.0,30549
Gordius,7.3,184522
sqbaniec,9.0,182028
Reticulum,6.0,68425
dragon of blood,7.0,110327
hanaro0404,6.0,154203
galort,7.0,62227
puyomaster,6.0,66505
ribosome,6.0,180593
Xcryanx,6.0,61692
Lommer,8.0,134352
Segismundo,7.0,129051
Spalkulus,5.0,13123
Sparkles,7.0,143515
CpaGuy,6.0,21791
halbert82,3.0,155821
wha2do,7.5,98
TopherHernandez,6.5,168435
Saxogeek,5.0,29387
ankeszu,6.2,239188
pipwoodie,5.5,141
pandoragreen,9.0,20551
Czechu,8.0,163068
PtitJu,8.0,42
mssss,9.0,161417
chrisw,5.0,141735
dramaplastika,7.0,110
musashi2,6.0,205125
Neilandlauras,6.5,478
Soobis,9.0,19857
Tannjev,7.0,201920
Singerete,9.0,69789
cardculturegames,8.0,161936
Lewk1700,6.0,201825
Aulyver,7.0,134726
ichaos1985,10.0,205637
killerardvark,8.0,65244
Frontliner,8.0,252526
evanbates7,7.0,10630
Zerus,6.0,1334
Th82,7.0,218333
Passionate_Always,10.0,9216
cyborgbill,10.0,1927
rjones53,6.5,18745
sukotto72,8.0,25669
Domo,3.0,97903
funketyme,7.0,155703
burakbasaran,10.0,233969
Dworkin,8.0,15987
steffmaister,10.0,175155
simonocles,6.0,248158
oolaa,3.0,9209
unixrevolution,7.0,8552
DeeVL,6.0,37198
imadeofwax,6.0,135779
moriarty 101,6.0,1042
eponym,5.0,10630
Detailer23,7.0,187645
Wrailyn,7.0,16933
neilmojo,7.0,140620
Monsieur.Bilbo,7.0,3085
Jackyhuynh,7.5,82222
nikkapo,10.0,2651
xanofere,4.5,136594
tmmaceira,8.0,216094
hpsauce012,6.0,70323
David Ells,7.0,3612
beatman,8.0,102794
Hafariel,9.0,91312
branvahn,7.0,131357
kulapika,8.5,6249
AntiGeek,4.5,120677
krakehz,7.0,2719
beejunjoe,8.5,152162
gerrymorley,8.0,17382
buergerberatung,5.0,2322
Yenreb,7.0,124742
dredstar,7.0,10547
jiro_tani,6.0,244171
nikolaypegasov,5.0,118025
rossnelson84,8.0,156546
giliam,8.0,136991
lucasccr,8.7,124
cslinxin,6.7,147151
Sarkoth,7.0,242302
Maitreya,7.0,140933
other_gamer,9.0,15987
oskari,5.0,153388
brianeikunst,6.5,15510
yutingxiang,8.0,170477
geneandcourtney,7.0,19114
rossng,6.0,38194
deadsunwheel,5.5,3941
Johnstone19,7.0,237182
General Amadeus,9.5,105551
deputydavis,7.0,155426
TardiParty,6.7,167791
topkat,7.0,4234
johnbird,5.0,278
ctemporal,8.7,120677
Gootch03,8.0,150376
fformighieri,7.3,68448
gagundrio,8.0,101785
TyNapier,6.0,239188
Psiclone,5.0,19370
Xidnew,10.0,203417
HBB4L,6.0,176229
DoctorHoNow,5.0,40692
demawi,6.4,214
giebut,5.0,53953
skandar,10.0,4741
Xico,9.5,120677
ravenpolar,7.0,2287
Kaya82,9.0,27708
rjs179,7.0,28259
CrimsonComet,8.8,232832
hamb,8.5,220
RKon27,9.0,221107
Hydra_Lord,8.0,179385
Conflict,7.0,232832
zwobot,9.0,2655
monkeyml,5.0,262388
mbhollman,9.0,249259
ipwilliams,8.0,36218
onekccs,7.0,9609
rayzg,5.0,68228
tonyhanna,8.0,201921
bennygui,7.0,30549
trapeze,6.0,5781
Kaciukas,9.0,201808
yellowblueplaid,7.0,244099
Kosmonaut,5.0,220707
steadym,6.0,27225
saf888,8.0,181
pinxterenm,7.0,169124
Kiv6,7.0,164928
JAskier,7.0,68227
kammeratmark,7.0,2471
psykonomist,6.0,478
BKLCyrus,10.0,172308
Cooper10,5.0,1117
Archbold,6.0,382
ajesito,6.5,12493
futurescaper,6.0,443
Grohmann,9.0,3076
Thomas72,6.5,103714
Rahima77,10.0,5617
bhurrel,9.0,241
JohnnyQuad,10.0,174146
Egils,7.5,257305
von wildensee,8.0,17970
lukedgh,8.0,70323
WetRock,8.0,54138
_The_Inquiry_,4.0,154906
mastarules,8.0,172225
Blandpeas,8.0,157354
S3ntinel,6.5,2651
csadin,9.0,143981
lauriekarine,10.0,31260
soccastar001,6.0,130295
kyxha,8.0,88
Montpelier42,7.02,191300
Pulinski,7.0,172
Monkatron,6.0,2452
SourCreamSuicide,9.0,122522
ketzer0815,6.0,43111
jphyman,5.0,16216
primeval,8.5,250561
wigwamking,7.5,28143
karlfast,8.0,233867
WhiteWalker,8.0,20437
BankofDracula,7.0,350
jbmholkenborg,8.5,155821
familywontplay,6.0,3725
Biku-Beku,8.0,11038
boardgamebahrain,10.0,152242
Ribouldingue,7.0,54735
Gemaskerde Muchacho,9.7,35677
Punchizzle,6.7,12942
osodani,8.0,204583
Popabawa,6.0,58602
Uvaroff,7.0,162886
Skykiller,6.0,144733
aspillner,10.0,108784
neilbyce4,8.0,65244
robertmiles,10.0,12333
kevinruns262,3.5,169544
xesmi,6.0,265736
ebugatta,7.4,54
swainio,8.0,246784
Chrode,8.0,113924
KGith,8.0,30549
shuitt,8.0,320
the bored gamer,6.0,23094
rushhowe,5.0,1917
FlashFlood52,8.0,242302
DennisR,10.0,174430
maxhelveston,8.0,276025
redwee,7.0,228660
Mozzik,7.0,268620
xsigynx,8.0,201921
tmgd,7.4,855
thebluejackal,8.7,187617
Otsis,6.0,144864
rkeswani,3.0,195456
Gentle Gerry,10.0,276025
Magma_PL,5.75,182120
sodaklady,9.0,475
desbonnet,9.0,31260
CarrieSue41,10.0,118048
fmalakai,9.0,18401
Arantil,6.0,2471
klasgunnar,8.0,178900
argoncordell,5.0,10167
Pockie,7.0,267652
Noordkaap,7.5,153938
AnokRu,10.0,164153
5SidedDice,7.0,169426
BrotherSir,8.4,66510
lukemanics,8.0,22141
RoadHouse,4.0,192268
Marshall Wells,7.0,30549
Ken Tidwell,5.0,36888
Manascrew,8.0,207336
Baggioo,8.0,8989
Rumbis,8.3,199792
fellonmyhead,5.0,789
Jester6641,3.0,2679
Just_Lucky,5.0,17053
KoichiroDK,8.0,169426
Octavian,4.0,16498
MiMeu,7.0,178900
yellowepi,6.5,198525
Pointy,6.0,2655
SCU123,6.5,18723
Arioh,9.0,71021
waxandwane,7.5,178900
longhaireddrew,9.0,148228
Icarus One,9.25,291457
Nikolas88,8.0,158600
gecko1919,6.5,40692
DangerGeek85,8.86667,194594
Tekesh,7.0,35677
wellevorkanagawa,5.0,235467
ElGordo,7.0,34004
rei70,7.8,12632
LibrarianChef,8.0,228504
fides,4.0,143519
irishroar,10.0,5
NPCat,7.5,36648
GilbertoGil1978,9.0,50
Greywolf2001ca,6.0,25292
we3die,6.0,232219
eengstrom,9.25,28143
czrdup,6.0,31133
Jorage,6.5,40398
jaislytje,7.0,216459
axelian73,6.0,204135
rhondasmathers,9.0,163412
leffe dubbel,10.0,6543
Neuskomo,7.5,230802
Tressel,8.0,207991
rvlieshout,8.0,173101
luciafalso,7.0,205716
Grouchomx,4.0,132531
Steve5332,7.0,99875
flipbert,8.0,10
Microver99,9.0,27364
pema,8.0,25008
KalKraken,6.0,16992
seaowl,6.0,6830
Marvinrah,9.0,8989
JohanX,3.0,3510
mystavln,8.0,30549
AROcola,9.0,106217
ryousuke,8.0,70149
scottredracecar,7.0,1447
jimmi_s_hansen,3.0,1406
Pawlisman,8.0,266507
Maeve_1981,7.0,155362
krios94,6.5,105593
PhotonStorm,8.0,6795
Padington,5.0,4143
gm416684729,10.0,171233
Farsol,6.0,12002
pisecobabe,7.0,37380
ShaneHamlin,8.0,55697
Spoonmonster,8.0,129948
Calgard,6.0,2891
Thorwolf,7.0,282414
Knight4576,6.5,154634
voidstate,4.0,192074
LastFootnote,8.5,62709
BugsHaveProtein,8.5,114438
BigMike85,6.0,245271
elclarkey,4.0,161762
pfeiler30,8.4,151022
Celebros,6.0,104347
dkingnu,7.0,193695
puppeteer,7.5,191977
smashxanadu,7.0,257501
thorrock,7.0,63706
thth,9.5,224517
painkiller,7.0,192291
meng,7.0,118051
jmdsplotter,4.0,1647
COGGaming,7.0,172287
malekith_86,6.5,148940
ackiel360,5.2,2394
druk35,8.0,199561
Occupy Boardwalk,8.0,101721
musicomaniac,9.0,148228
fosis,7.0,168274
gamerdinger,7.0,915
babone,7.5,132531
iwonka,7.0,123260
zastrygon,5.0,257058
JiG_SaW,6.0,173346
bejger,9.0,182028
nikobel,9.0,256730
grandslam,7.5,53953
chrise75,6.0,90305
mfaulk80,5.0,1197
dungeonsanddonuts,7.0,193042
bbrous,8.0,17223
hotspur,5.0,1511
iSELVES,9.0,40692
airsw79,3.0,265
stormseeker75,8.0,2961
Olafslomp,8.0,1042
SmoovySmoov,7.0,1561
aiho,7.0,503
sareias,7.0,24565
brutusbelton,8.0,258412
Swarm_of_Plagues,6.0,204135
Marcjn,10.0,3076
MEver3,8.0,155362
Ciaran,7.0,198773
draggingalake,6.0,140933
Boltana,1.0,243
robgra,6.0,158392
suenteuspo,6.0,1198
oosp,9.0,30549
freddieyu,8.25,157001
hyggli,8.0,1353
vorchan,8.0,11170
Katsumi,9.0,88
ajpl,6.0,118063
Castellanus,3.0,1258
r0blarson1984,8.5,9675
adc39,7.5,148951
Coroner85,8.0,181521
GregDemetrick,3.0,7336
Daquinus,10.0,40354
buckeyeshell,8.0,210410
epokal,8.3,143693
Tikigod,7.5,185538
bcool680,2.0,1927
WTPhug,9.0,133473
sot07,8.0,8217
dragoncrescent,6.0,153807
verudar,8.0,110327
phildinius,6.5,85256
cafin8d,7.0,169426
jake_11,3.0,36946
Limp,5.0,117992
alx145,7.0,218050
agrippa,8.0,21050
shadowrook,8.0,124708
Dark Morthon,8.0,156566
zkl2003,5.0,1269
togamonkey,2.0,2956
adangabiola,7.7,172
regex,6.5,32116
Sadek77,7.0,146508
mshopkins,7.0,483
HamadiDizzark,7.0,54
loofnick,5.0,39339
philcampeau,8.0,122515
Malar7,8.0,40398
Lombardo313,8.0,15818
Chrisfromgreece,9.5,173346
giovdigi,5.0,181796
AshtrayY,7.0,182134
markta,7.0,36218
Sifahkram,7.0,212402
Chubby,6.0,9209
paulrmason,7.0,10093
howdoyousleep,7.0,21763
Dugy,9.0,168681
TMJJS,5.0,169
deadteddy,8.0,20100
Joel916,7.0,266524
katsuben,6.0,3
thepaige,7.0,9209
familywontplay,9.0,39684
Perce85,7.25,62222
Chesko7,8.0,154203
Sheltem,5.0,2779
MithrasSWE,7.5,283393
Moppersmurf,6.0,4610
BoiledEgg74,8.0,590
thatchergreg,8.0,124361
no_where_dense,6.0,19650
marjacstein,9.0,230802
johnwroberts,5.0,16395
Mrfickles,2.0,121921
kosterix,4.0,146652
pawlasp,8.0,73439
RevolutionChinese,10.0,237087
holywolfman,10.0,66356
sureyaa,7.0,38453
Lhucthu,6.5,92319
Kenike,7.0,2719
QuasarJones,8.5,196202
mebesquee,7.5,180974
elgreco77,8.45,20022
katanatea,6.0,24627
rizkar,8.0,3570
iammike,8.0,173346
runner_boy_4ever,7.0,98778
Chunkmonger,7.5,112
OpT1mUs,8.5,45986
Pusher,9.0,178900
Jvandereck,7.0,192291
socialcnstrct,3.0,2921
1amgreg77,8.5,148203
spoonts,9.0,54
Methos_,7.0,169654
Rainbow Snake,7.0,140
Lamyae,5.0,6607
jim.brooks10,6.0,437
K2ndy,6.0,245214
Rothkeen,6.0,822
Hollyhock,4.0,36946
HokutenKnight,6.0,35634
Yakslapper,7.0,92828
ilgarrone,8.0,140603
e.e.goings,6.0,21632
Pjpas,8.01,143515
manolovila,7.0,2394
phchui,5.0,9910
ZephonSoul,7.0,67185
Poskasto,5.0,276042
Hajk,10.0,12493
mtaylor314,9.0,169786
jpeter,6.0,103686
jerrygskk,6.8,6249
arwin_goodman,5.0,150
DarrylFerster,6.0,941
HongKongFouFou,7.5,265736
Raabeyes,6.0,223770
Tallens,8.0,171131
carmicrowe,7.0,822
zd2046,7.5,7717
Kravian,9.95,221107
Zhimis,8.0,25292
Stoffer,7.0,822
tremechus,9.0,19237
Radioactive Man,5.2,194626
alacer13,9.0,266507
Ehero55,6.0,181
agent foiliage,9.0,10547
niles77,6.0,163968
Hawk,7.0,5072
Drugo,8.0,204728
gmarius,6.5,39953
ACTC,7.0,27802
Sunburnt Tiger,6.0,2471
gerrymorley,6.0,760
Dwightsnake,8.5,84876
So_an_so,8.0,35423
M_Clou,7.0,143986
fredact,4.0,98
Majadero,3.0,176189
Drakeer Melkhor,8.0,217372
Zhukov3945,8.5,125153
Zocane,6.0,23761
hunny12tiger,9.0,823
Jorharper,7.0,27225
TheGameographer,7.0,271518
willythesnitch,7.0,327
Kamari,8.0,34169
BigBlindBais,8.0,478
ndkid,7.0,32116
WanderingWahine,8.0,172933
SidecarGames,8.0,230802
Zenithsplendor,6.3,3806
Wieisdemol,6.0,41863
hobrk,9.0,159675
trekhammer,6.0,3248
PaintedMirror,3.0,156786
maxvigne,6.0,168917
jerod_tb,10.0,1915
breakmanynecks,6.0,8258
ehellas,4.0,6249
farywan1981,7.5,85256
Zebambara,8.5,28720
Michal84,8.0,262712
fdo_claves,9.6,266460
TheAtomicNerd,7.2,125678
MrFoodMonsterMan,6.0,82610
jeffrhind,7.0,192458
blacksad77,7.5,195314
Hristo Filipov,5.0,132817
Selgador,8.0,13
noporunner68,7.0,5750
isramarq,8.0,188920
danielvinzia,7.0,54138
Tileo,10.0,224517
nouseforafx,10.0,372
Nimboline,10.0,39463
sigmarpriest,7.05,145659
Kaladon,9.0,2471
mindnektar,6.5,123540
graysondc,9.0,144743
El_Lalas,7.0,30549
dearayao,6.0,27225
BingoAM,7.0,242302
matts32,7.0,19100
Gamesden,8.0,249
erethakbe,7.5,225729
RebekahInDenial,7.0,70919
sbarcelo,6.0,6887
yadisbeles,7.0,161614
pjroemer,7.0,25669
LudiGaume,8.0,262388
Solat,8.0,136888
nukethestars,8.51,169786
dhiran,8.0,245446
picklethehutt,7.0,224037
jfenton4,7.0,14996
peacmyer,7.0,66188
norman_nevins,7.0,184700
peteyandycreek,7.0,154301
HealingAura,9.0,198773
Possa,7.5,40270
lolxd2,7.0,148228
MyGuyRy,8.0,236457
panoulis80,6.0,2921
sh4dowwolf,6.0,123260
lcarus,7.0,178900
ehartnett00,9.0,207691
Wilweg,7.0,193214
Blika_Gold,7.4,132372
logicbomb,9.0,180263
sisp0212,6.0,161970
dhable,6.0,210274
Agrajag,8.0,54
Sacco,7.5,169416
Tammysms,10.0,161936
Imrhalis,6.0,167292
cjschumacher07,9.0,201808
Ardwulf,5.0,7169
DJDerbstep,6.0,192291
Blood Meridian,7.0,11
Twinder,7.0,95234
jhinkle,8.0,74
schulzj,7.0,18100
fake,5.0,218314
operamang,7.5,33154
Gwelf,8.0,12493
replay,8.0,822
JotaEse,6.5,150690
sukiyaki0523,6.0,183394
Marstov,7.5,37111
NocturnalX,8.0,155969
NutsAndVolts,6.0,1111
athom6227,8.0,41749
lokjun,8.0,129736
jandolini,7.0,39463
Daeuhl,7.0,59946
allietx,7.0,139443
IHOP_13,9.0,167791
hrs_1357,10.0,191292
Lahelapixie,8.0,1927
Gravolis,6.0,40354
Arlen79,6.0,104347
DoYouReadSutterCane,3.0,7465
GenX,6.0,12995
Falagarek,10.0,233398
joepunman,8.0,209778
Meiere01,8.0,160477
gatchaman,4.0,54998
DRD 1812,5.0,37111
Muruim,10.0,167791
Pedrote,8.0,87907
nerman8r,7.0,2960
gr8nater,5.0,83330
Fela_kuti,9.0,38506
vardamir,8.0,103092
davispigeon,7.0,91534
Bulwyf,6.0,32226
mauigreen,7.0,217780
gerrywiz,7.0,73288
desmotrek1,7.5,188920
superjuanmarin,6.0,165950
Ziemko,7.25,191597
galarth,7.0,9674
alisonarantes,5.0,15987
Spooky7,6.0,131835
oowick,7.0,11
KasperEnevoldsen,7.0,199792
Firepot,8.0,129622
dynamiteboy80,8.0,28143
phunlvr,7.0,119391
marronigus,6.0,5447
taolax,7.8,98778
lililice,4.5,182694
gnoccarello,6.5,398
murphyramusovic,7.0,227789
dyepbr,8.7,124361
col000r,9.0,2223
BlaiseandTara,8.0,175
SABATAI,5.0,27848
Xarien,5.0,29118
chetzer,6.0,36218
dbarbaglia,6.3,4390
VirtualReale,9.0,205059
ResN91,4.5,244049
zaknafein666,9.0,28720
Deltas,7.0,127023
promajo,9.0,124361
cameroon,7.0,56796
nchipps,7.0,168
Vasher,6.5,156336
eternitycomplex,6.0,180852
rasseru,8.0,172242
carlsbad,2.0,3737
Maggit333,4.5,25986
Pablo Diablo,10.0,3284
Dathkadan,7.5,43443
Marthaci,7.0,92415
toddwag,6.0,155703
GiantLocust,8.0,188547
bgsokl,6.0,43443
Michilele,1.0,172381
Kudosphil,7.0,39856
Yellowgeekbear,7.0,158899
EvilPaticus,7.0,103885
heavydisking,6.0,125153
morf73,6.5,250442
Gino_santi,8.0,70323
adam.skinner,8.5,37208
EYE of NiGHT,6.5,22266
tenhole,9.0,68820
Iparbus,4.0,1406
pedrito_elcabra,10.0,120677
filou,5.0,4096
tweetas,9.0,68448
Entity Of Smiles,5.0,182120
Deril,6.0,2452
sweetdaddypete,6.0,146278
Troquemante,6.0,59959
JamesT,4.0,96848
rle63,9.0,145642
abrocker,9.0,205597
OrangeWizard,8.0,65244
Kelly606,8.0,15364
schmidj42,7.0,131357
alexflight1969,8.0,4260
natachen,7.0,30549
8maki,8.0,3076
rarroyo,4.0,12205
pjo2412,6.0,10547
usnavi,6.0,19237
NecroChan,10.0,146559
Richkingretro,5.0,6194
schulzj,7.0,105551
rinmanrunner,8.0,160744
Sovey,9.0,54998
twinson3737,8.0,84876
alexd,8.0,175199
shoopy45,9.0,129622
Tasran,5.0,43443
comfroels,7.0,1927
Volatile Agent,9.0,45315
Standalone916,7.0,110327
CeeTee2001,1.0,50381
ambisiniestro,5.0,236191
giogames,8.0,1822
Ixe8,8.0,30645
waynea,9.0,177590
thefooz,8.5,760
hhamburger,6.0,266192
TormentaCristal,9.0,63268
Dagona,8.5,12692
lasttruegypsy,7.477,161533
ChowYunBrent,7.0,157354
ric manns,9.0,17397
KineticKill,9.0,132531
yoggoth,7.0,30549
Redd85,7.5,47185
Kvamzi,7.0,478
kruzhalovv,5.5,176734
Spoonmonster,7.0,40769
dalinski,9.5,7536
fcboyd,6.0,46213
Clockwatcher,7.0,160477
AFABBI,6.0,69120
ligiDOGE,5.5,438
isnable,8.0,90041
fiorevita,7.0,169649
rustyshack86,7.0,1927
program2game,8.0,188
eikejmeyer,7.0,232405
botulinum,7.5,26457
cubbiescromp1,7.0,8217
bazyn,6.0,559
dibanezmacaya,7.0,147623
dfelker,7.0,258104
limpingman,8.0,3085
Rewo,5.0,134157
terrystad,3.0,1353
NeverOnMyPhone,6.0,226605
Fawkes,6.0,72
Ryszkins,9.0,215311
Frankenfletch,7.5,40235
Demonpiggies,7.5,191932
Dice Driven Gamer,8.0,162823
Pola,7.0,172308
MaD Elektro,8.0,3076
JoshuaDoshua,4.0,253396
SirLankselot,3.0,31920
iy803,9.5,3076
FunkMastaFlynn,9.66,5641
lacxox,7.8,230802
Eldring,8.5,124361
tomster,6.5,8495
SherpaDurka,6.0,37196
ffourcad,6.5,83195
cnidius,5.0,172064
bobroxs,6.0,69789
PsychoZulu,6.0,1960
manji232,8.0,10630
masoudtab,6.5,34887
thoreaubred,6.0,2952
Grakkus,8.0,40834
jyling,6.8,216856
ralphie,7.0,70323
tedtalb,9.0,157354
Damiano0406,9.0,285984
earlystarts,7.0,31594
Ixillious,7.0,178900
TermiGator,7.0,8124
Schlesien,7.0,2209
tomotine65,7.0,129622
bsushort,3.0,27627
Serbaside,5.0,4143
PhantomFear,8.5,229853
harry86,6.5,269199
Browncoat_Loyalist,7.0,133473
adalbert,7.5,9625
justscott,8.5,194655
heccubus,6.0,2381
Pfunk,8.0,31260
Jerryvonkramer,1.0,36946
Vroomer,2.0,822
pikaphanpooh,9.5,120677
MisterLovejoy,7.0,205716
adkokk7321,8.0,94837
JsBingley,9.0,68448
plightshift,10.0,255664
facehugger,7.1,41916
talisman_stl,2.0,43320
Wedgell,7.0,59959
DireKushko,6.0,170416
Zhimis,7.5,23686
cantilever,7.5,11
Firemael,10.0,116998
dan4th,4.0,22545
Jwlahn,7.0,211534
Purgatus,8.0,28720
PhiberOptik,7.0,15987
Moria476,2.0,72125
Willymandjaro,7.0,68448
Moonbat,10.0,3076
toeybox,8.5,93
Kaermo,7.0,16986
Iantully,9.0,256382
woj_settlers,6.0,185343
spixi,7.0,35293
xpnew275,5.7,131366
Zorbo2000,6.0,15987
Hochi,9.0,169786
newkillerstar27,5.0,162107
srlarkin,6.0,5383
Slotracer,8.0,239465
ncsmn10,8.0,179172
andre1975,6.0,56880
sonofjon,8.0,204583
demuellae,8.0,143693
Boofus,1.0,60
randomlogic,8.0,14996
AndSushi,9.0,237182
laurent76haquet,4.0,860
Brother Abe,9.6549,155873
KidCuervo,6.0,156129
hmyoung,2.0,503
Tinger1996,7.9,169426
futuredodger,8.0,36218
sledesma,9.0,35677
naeblis,7.0,14996
wjohnd,3.0,9607
velvetvoulge,7.0,123219
jsquick,7.0,147151
firstfletch,5.0,22825
Jas77,8.0,127023
Chusso,4.0,3794
motljus,5.0,8222
jmellby,8.0,2464
MOTDF,7.0,143515
Jonathan68,8.0,822
KLSnow,8.0,2651
SirEchtelion,8.0,163068
Tuxedomouse,7.0,2165
coudflo,8.0,92319
SquadPainter,9.0,37904
goldat,10.0,12333
albertoaleja,8.0,161936
Netters,7.0,478
Miele34,8.0,194196
mroozz,7.0,25213
kipikipik,4.0,19650
Failedhaiku,10.0,169786
MassoelsB,8.0,244305
quelf elf,7.0,30869
twicker,7.3,172
SchoolFool,8.0,178900
Tricky_Troller,4.5,590
Tolkana,10.0,233961
wingfolk,9.8,229220
Great Hebus Man,8.0,254640
rvalli,5.0,123570
partino,8.0,30549
Softamber,7.0,5737
Happyhap,8.0,50381
zsuamnesty,8.0,180263
tek_sprite,7.0,3201
cosnowbaby,6.0,16395
AndyD442,9.0,172287
mrdisco102,7.0,218311
Ihwarrior,7.75,162286
Awschmitkons,4.0,195454
jcrim13,7.0,205896
ChaosAndAlchemy,3.5,205322
joebri,5.0,116
glursh,7.0,58782
Finkreg,8.0,266192
jempouly,8.5,39389
hxbx,8.0,92319
dbailey31,8.0,169786
Tycho,6.0,184866
bobacles,5.5,5157
Usernamae88,8.0,194880
lmangney,7.0,150376
Jazel,7.0,11168
alkis21,8.0,19100
RiskyK,6.0,9220
citizen k,5.0,9217
EquippedName,7.0,160499
tsbasa74421,7.0,3
sweetsweetdoughnuts,7.0,144566
Difference,8.0,148949
kubalud,8.0,163412
EarlofBronze,7.0,17133
stilgargallagher,7.0,36218
tboley,7.0,161936
sdstasko,8.0,103885
Adrock69,9.0,91536
xeps,6.1,177639
Aganast,8.0,438
mtjake,8.5,164928
rchandra,6.0,129437
Angelz11,9.0,174430
Cufflinks,7.0,127023
Bundyman,8.0,71
lenifou,8.0,54043
gloryutd,8.5,28720
peutcheubeu,9.0,68448
Mar2828,7.0,173346
Handballer,7.0,254018
IronHide71,9.0,148949
TrentonTron,7.0,29355
bilbotheplayer,7.0,20952
BigBert44,7.0,245476
Azure dragon,6.5,34635
keithrapley,7.0,278
rangerx,9.6,102435
brownk29,8.0,904
julss23,7.0,22545
Zinnia,7.0,45
verandi,6.0,17025
sarahsabggeek,7.646669999999999,131357
SlightlyBoard,7.0,15987
AO_Bercilak,7.0,244994
cuazzel,3.0,3139
vacekrae,7.0,15987
Oliv,8.0,143693
kuene,7.5,163474
tim999,5.0,36687
raamat,9.4,126163
crazysoul,7.0,53953
zhaoshiziguang,7.0,34585
monkeyboy5of9,7.0,39856
PECES,5.0,113294
diothyme,7.0,163930
hlemmur,8.0,239942
Babysquidboi,7.0,160477
TehMadWizard,8.0,173346
d0ul,7.0,2596
JediDjoser,7.0,36218
belme,9.0,229853
sisteray,7.0,1267
ct5150,6.5,95105
JensFL,4.0,941
ianoble,6.0,171011
ItsKYRO,9.0,157969
Droscy,6.0,3955
MBlackwood,7.0,40765
ilogico,6.0,40692
theras2000,8.0,84876
Bigtickit,7.0,63759
mattyoung27,9.0,3076
SnakeKing,6.0,96713
catchmax,7.0,131366
gruescher,8.0,233398
GamesKnight,6.0,2342
davedanger,7.0,4211
Mr Penguin,7.0,37400
Zeffklopp,10.0,120677
svysockih,9.0,161970
tlawdenski,3.0,1270
Memorare,3.0,139771
wstubbs,7.0,34219
DavidVC,7.0,102794
KyleEC,10.0,12333
mobo63,7.0,137297
FalconScarlet,7.5,193738
ronaldup,5.0,55690
Handy_B,7.5,70323
Tiets,7.0,171499
Spukky,7.4,103649
PlatypusGaming,6.0,175221
LTrussell,8.5,202426
VickdaReaper,8.2,12
alerce,6.0,147020
LuLuBu,6.0,131477
LordJuzam,10.0,3076
Icarus89,9.0,177736
VoidCircuit,9.0,224517
obenwalkenobi,7.0,181304
roccaturi,10.0,40354
jimmyhotels,9.0,483
antigel,7.2,15512
QuickNick,2.0,6424
MagoBaol,8.0,2511
Keirat,7.0,38343
n_slider,6.0,179835
Codypup,8.0,250442
mkano,9.0,129622
Leffjon,9.0,30549
fastrack20,7.0,438
captncavern,4.0,159570
Shadow Thief,7.5,63628
